,Winner,Dog,Dog_Record,Winner_Odds,Fav_Record,percent,percent2,Fav_Games,Dog_Games,Fav_Odds,Fav,Sex,Winx
36,Gregoire Barrere,Nicolas Moreno De Alboran,33%,1.42,70%,0.6956521739130435,0.3333333333333333,23,6,1.42,Gregoire Barrere,Mens,Fav
37,Lucas Pouille,Lucas Pouille,69%,2.51,67%,0.6666666666666666,0.6875,12,16,1.49,Dennis Novak,Mens,Dog
38,Gauthier Onclin,Ernests Gulbis,80%,1.4,60%,0.6,0.8,5,5,1.4,Gauthier Onclin,Mens,Fav
39,Geoffrey Blancaneaux,Geoffrey Blancaneaux,23%,2.62,62%,0.625,0.23076923076923078,24,13,1.46,Radu Albot,Mens,Dog
40,David Goffin,Frederico Ferreira Silva,40%,1.15,45%,0.45454545454545453,0.4,11,5,1.15,David Goffin,Mens,Fav
41,Altug Celikbilek,Altug Celikbilek,52%,2.04,40%,0.4,0.5238095238095238,10,21,1.73,Filip Misolic,Mens,Dog
42,Stefanos Tsitsipas,Karen Khachanov,47%,1.33,69%,0.6949152542372882,0.46511627906976744,59,43,1.33,Stefanos Tsitsipas,Mens,Fav
43,Novak Djokovic,Tommy Paul,50%,1.05,87%,0.868421052631579,0.5,38,42,1.05,Novak Djokovic,Mens,Fav
44,Yannick Hanfmann,Ricardas Berankis,53%,1.8,67%,0.6666666666666666,0.5263157894736842,12,19,1.8,Yannick Hanfmann,Mens,Fav
45,Radu Albot,Antoine Bellier,22%,1.46,58%,0.5833333333333334,0.2222222222222222,24,9,1.46,Radu Albot,Mens,Fav
46,Elena Rybakina,Victoria Azarenka,62%,1.48,56%,0.5555555555555556,0.625,45,40,1.48,Elena Rybakina,Womens,Fav
47,Aryna Sabalenka,Magda Linette,52%,1.19,60%,0.6,0.5185185185185185,45,27,1.19,Aryna Sabalenka,Womens,Fav
48,Illya Marchenko,Illya Marchenko,31%,2.19,60%,0.6,0.3076923076923077,10,13,1.63,Benoit Paire,Mens,Dog
49,Arthur Fils,Bu Yunchaokete,17%,1.2,64%,0.6428571428571429,0.16666666666666666,14,6,1.2,Arthur Fils,Mens,Fav
50,Luca Van Assche,Luca Nardi,46%,1.84,38%,0.38461538461538464,0.46153846153846156,13,13,1.84,Luca Van Assche,Mens,Fav
51,Otto Virtanen,Sebastian Ofner,58%,1.69,30%,0.3,0.5833333333333334,10,12,1.69,Otto Virtanen,Mens,Fav
52,Arthur Fils,Gijs Brouwer,44%,1.51,45%,0.45454545454545453,0.4444444444444444,11,9,1.51,Arthur Fils,Mens,Fav
53,Nicolas Moreno De Alboran,Manuel Guinard,36%,1.46,40%,0.4,0.36363636363636365,10,11,1.46,Nicolas Moreno De Alboran,Mens,Fav
54,Mikael Ymer,Raphael Collignon,40%,1.15,50%,0.5,0.4,10,5,1.15,Mikael Ymer,Mens,Fav
55,David Goffin,Kimmer Coppejans,20%,1.14,40%,0.4,0.2,10,5,1.14,David Goffin,Mens,Fav
56,Fabian Marozsan,Cem Ilkel,59%,1.7,73%,0.7272727272727273,0.5909090909090909,11,22,1.7,Fabian Marozsan,Mens,Fav
57,Filip Misolic,Filip Misolic,33%,3.21,40%,0.4,0.3333333333333333,10,6,1.32,Joris De Loore,Mens,Dog
58,Altug Celikbilek,Altug Celikbilek,53%,2.4,55%,0.5454545454545454,0.5263157894736842,11,19,1.53,Elias Ymer,Mens,Dog
59,Mikael Ymer,Borna Gojo,55%,1.41,50%,0.5,0.5454545454545454,18,11,1.41,Mikael Ymer,Mens,Fav
60,Kaichi Uchida,Kaichi Uchida,27%,2.3,30%,0.3,0.2727272727272727,10,11,1.57,Jozef Kovalik,Mens,Dog
61,Dominic Stricker,Illya Marchenko,50%,1.25,60%,0.6,0.5,10,16,1.25,Dominic Stricker,Mens,Fav
62,Dennis Novak,Nick Hardt,43%,1.31,73%,0.7333333333333333,0.42857142857142855,15,7,1.31,Dennis Novak,Mens,Fav
63,Radu Albot,Alexandre Muller,56%,1.59,58%,0.5833333333333334,0.5555555555555556,24,9,1.59,Radu Albot,Mens,Fav
64,Otto Virtanen,Giovanni Mpetshi Perricard,33%,1.49,90%,0.9,0.3333333333333333,10,6,1.49,Otto Virtanen,Mens,Fav
65,Sebastian Ofner,Sebastian Ofner,56%,2.06,47%,0.4666666666666667,0.5555555555555556,15,9,1.71,Matteo Arnaldi,Mens,Dog
66,Magda Linette,Magda Linette,44%,2.44,66%,0.6571428571428571,0.43902439024390244,35,41,1.58,Karolina Pliskova,Womens,Dog
67,Gregoire Barrere,Emilio Nava,35%,1.42,42%,0.4230769230769231,0.35294117647058826,26,17,1.42,Gregoire Barrere,Mens,Fav
68,Antoine Bellier,Antoine Bellier,40%,2.36,69%,0.6923076923076923,0.4,13,10,1.55,Zsombor Piros,Mens,Dog
69,Gijs Brouwer,Gijs Brouwer,33%,2.72,67%,0.6666666666666666,0.3333333333333333,21,9,1.42,Vasek Pospisil,Mens,Dog
70,Aryna Sabalenka,Donna Vekic,50%,1.28,70%,0.696969696969697,0.5,33,20,1.28,Aryna Sabalenka,Womens,Fav
71,Calvin Hemery,Calvin Hemery,40%,3.3,55%,0.5454545454545454,0.4,11,5,1.3,Hugo Grenier,Mens,Dog
72,Lucas Pouille,Lucas Pouille,70%,2.09,73%,0.7272727272727273,0.7,11,10,1.69,Flavio Cobolli,Mens,Dog
73,Dominic Stricker,Pierre Hugues Herbert,50%,1.48,60%,0.6,0.5,10,8,1.48,Dominic Stricker,Mens,Fav
74,Jozef Kovalik,Jozef Kovalik,25%,3.22,41%,0.4117647058823529,0.25,17,12,1.32,Jurij Rodionov,Mens,Dog
75,Ricardas Berankis,Henri Laaksonen,58%,1.6,75%,0.75,0.5833333333333334,12,24,1.6,Ricardas Berankis,Mens,Fav
76,Novak Djokovic,Andrey Rublev,65%,1.13,85%,0.8484848484848485,0.6530612244897959,33,49,1.13,Novak Djokovic,Mens,Fav
77,Tommy Paul,Ben Shelton,50%,1.36,64%,0.6428571428571429,0.5,28,6,1.36,Tommy Paul,Mens,Fav
78,Fabian Marozsan,Andrea Arnaboldi,22%,1.3,70%,0.7,0.2222222222222222,10,9,1.3,Fabian Marozsan,Mens,Fav
79,Kaichi Uchida,Alibek Kachmazov,20%,1.61,57%,0.5714285714285714,0.2,14,5,1.61,Kaichi Uchida,Mens,Fav
80,Cem Ilkel,Cem Ilkel,58%,2.11,73%,0.7272727272727273,0.5833333333333334,11,24,1.67,Alexander Shevchenko,Mens,Dog
81,Elias Ymer,Kenny De Schepper,33%,1.44,45%,0.45454545454545453,0.3333333333333333,11,6,1.44,Elias Ymer,Mens,Fav
82,Ernests Gulbis,Ernests Gulbis,44%,3.65,70%,0.7,0.4444444444444444,10,9,1.25,Lukas Klein,Mens,Dog
83,Filip Misolic,Filip Misolic,20%,4.5,54%,0.5384615384615384,0.2,26,5,1.18,Tomas Machac,Mens,Dog
84,Frederico Ferreira Silva,Frederico Ferreira Silva,50%,2.24,55%,0.5454545454545454,0.5,11,16,1.6,Raul Brancaccio,Mens,Dog
85,Borna Gojo,Zizou Bergs,35%,1.81,70%,0.7,0.35,20,20,1.81,Borna Gojo,Mens,Fav
86,Altug Celikbilek,Valentin Vacherot,50%,1.61,45%,0.45454545454545453,0.5,11,8,1.61,Altug Celikbilek,Mens,Fav
87,Calvin Hemery,Calvin Hemery,20%,2.24,60%,0.6,0.2,10,5,1.57,Evan Furness,Mens,Dog
88,Giovanni Mpetshi Perricard,Giovanni Mpetshi Perricard,80%,1.87,55%,0.5454545454545454,0.8,11,5,1.82,Ulises Blanch,Mens,Dog
89,Victoria Azarenka,Victoria Azarenka,58%,3.45,69%,0.6862745098039216,0.5757575757575758,51,33,1.33,Jessica Pegula,Womens,Dog
90,Calvin Hemery,Calvin Hemery,0%,2.05,60%,0.6,0.0,10,5,1.67,Alexey Vatutin,Mens,Dog
91,Elena Rybakina,Jelena Ostapenko,48%,1.38,56%,0.5581395348837209,0.4782608695652174,43,46,1.38,Elena Rybakina,Womens,Fav
92,Nicolas Moreno De Alboran,Jonathan Eysseric,0%,1.24,50%,0.5,0.0,10,5,1.24,Nicolas Moreno De Alboran,Mens,Fav
93,Joris De Loore,Ramkumar Ramanathan,37%,1.31,82%,0.8181818181818182,0.3684210526315789,11,19,1.31,Joris De Loore,Mens,Fav
94,Ergi Kirkin,Louis Wessels,0%,1.68,10%,0.1,0.0,10,5,1.68,Ergi Kirkin,Mens,Fav
95,Karen Khachanov,Karen Khachanov,56%,2.08,58%,0.5777777777777777,0.5636363636363636,45,55,1.78,Sebastian Korda,Mens,Dog
96,Ricardas Berankis,Henri Laaksonen,61%,1.6,73%,0.7272727272727273,0.6086956521739131,11,23,1.6,Ricardas Berankis,Mens,Fav
97,Alibek Kachmazov,Viktor Durasovic,29%,1.84,62%,0.6153846153846154,0.2857142857142857,13,7,1.84,Alibek Kachmazov,Mens,Fav
98,Mikael Ymer,Cem Ilkel,14%,1.26,50%,0.5,0.14285714285714285,10,7,1.26,Mikael Ymer,Mens,Fav
99,Yannick Hanfmann,Nino Serdarusic,33%,1.29,70%,0.7,0.3333333333333333,10,9,1.29,Yannick Hanfmann,Mens,Fav
100,Andrea Arnaboldi,Andrea Arnaboldi,27%,2.25,60%,0.6,0.2727272727272727,10,11,1.58,Altug Celikbilek,Mens,Dog
101,Kenny De Schepper,Henri Squire,67%,1.82,33%,0.3333333333333333,0.6666666666666666,15,9,1.82,Kenny De Schepper,Mens,Fav
102,Joris De Loore,Alibek Kachmazov,40%,1.23,80%,0.8,0.4,10,5,1.23,Joris De Loore,Mens,Fav
103,Stefanos Tsitsipas,Jiri Lehecka,54%,1.16,80%,0.7954545454545454,0.5384615384615384,44,13,1.16,Stefanos Tsitsipas,Mens,Fav
104,Henri Squire,Oscar Jose Gutierrez,0%,1.12,75%,0.75,0.0,12,5,1.12,Henri Squire,Mens,Fav
105,Novak Djokovic,Alex De Minaur,53%,1.21,86%,0.8571428571428571,0.5277777777777778,35,36,1.21,Novak Djokovic,Mens,Fav
106,Tommy Paul,Roberto Bautista Agut,61%,1.74,52%,0.5217391304347826,0.6136363636363636,46,44,1.74,Tommy Paul,Mens,Fav
107,Andrey Rublev,Andrey Rublev,65%,2.14,60%,0.6,0.6458333333333334,30,48,1.74,Holger Rune,Mens,Dog
108,Ernests Gulbis,Ernests Gulbis,57%,2.07,50%,0.5,0.5714285714285714,10,7,1.67,Charles Broom,Mens,Dog
109,Altug Celikbilek,Mats Rosenkranz,33%,1.31,60%,0.6,0.3333333333333333,10,6,1.31,Altug Celikbilek,Mens,Fav
110,Kenny De Schepper,Kenny De Schepper,12%,2.26,42%,0.4166666666666667,0.125,12,8,1.58,Michael Geerts,Mens,Dog
111,Ulises Blanch,Ulises Blanch,50%,2.26,60%,0.6,0.5,10,6,1.56,Mathias Bourgue,Mens,Dog
112,Illya Marchenko,Benjamin Lock,50%,1.14,42%,0.4166666666666667,0.5,12,6,1.14,Illya Marchenko,Mens,Fav
113,Karolina Pliskova,Shuai Zhang,40%,1.44,63%,0.6333333333333333,0.4,30,40,1.44,Karolina Pliskova,Womens,Fav
114,Magda Linette,Magda Linette,43%,3.1,57%,0.5652173913043478,0.43478260869565216,46,23,1.38,Caroline Garcia,Womens,Dog
115,Donna Vekic,Linda Fruhvirtova,62%,1.4,58%,0.5833333333333334,0.6153846153846154,24,13,1.4,Donna Vekic,Womens,Fav
116,Aryna Sabalenka,Belinda Bencic,56%,1.69,56%,0.5555555555555556,0.5555555555555556,36,27,1.69,Aryna Sabalenka,Womens,Fav
117,Elena Rybakina,Elena Rybakina,53%,4.17,79%,0.7903225806451613,0.5277777777777778,62,36,1.24,Iga Swiatek,Womens,Dog
118,Jiri Lehecka,Jiri Lehecka,46%,4.38,76%,0.7631578947368421,0.46153846153846156,38,13,1.22,Felix Auger Aliassime,Mens,Dog
119,Karen Khachanov,Yoshihito Nishioka,53%,1.42,56%,0.5555555555555556,0.5277777777777778,54,36,1.42,Karen Khachanov,Mens,Fav
120,Sebastian Korda,Hubert Hurkacz,61%,1.57,57%,0.5714285714285714,0.6140350877192983,42,57,1.57,Sebastian Korda,Mens,Fav
121,Alexander Shevchenko,Alexander Shevchenko,38%,2.29,58%,0.5833333333333334,0.375,12,8,1.58,Sebastian Ofner,Mens,Dog
122,Stefanos Tsitsipas,Jannik Sinner,55%,1.47,68%,0.6842105263157895,0.5517241379310345,57,29,1.47,Stefanos Tsitsipas,Mens,Fav
123,Sho Shimabukuro,Sho Shimabukuro,86%,3.43,70%,0.7,0.8571428571428571,10,7,1.29,Arthur Cazaux,Mens,Dog
124,Victoria Azarenka,Lin Zhu,50%,1.15,89%,0.8947368421052632,0.5,19,12,1.15,Victoria Azarenka,Womens,Fav
125,Jessica Pegula,Barbora Krejcikova,59%,1.44,67%,0.673469387755102,0.5862068965517241,49,29,1.44,Jessica Pegula,Womens,Fav
126,Jelena Ostapenko,Jelena Ostapenko,44%,4.35,58%,0.5833333333333334,0.4358974358974359,36,39,1.22,Cori Gauff,Womens,Dog
127,Alexander Shevchenko,Francesco Maestrelli,56%,1.86,40%,0.4,0.5555555555555556,10,9,1.86,Alexander Shevchenko,Mens,Fav
128,Sebastian Ofner,Mate Valkusz,80%,1.5,64%,0.6363636363636364,0.8,11,5,1.5,Sebastian Ofner,Mens,Fav
129,Novak Djokovic,Grigor Dimitrov,44%,1.2,86%,0.8571428571428571,0.4444444444444444,35,27,1.2,Novak Djokovic,Mens,Fav
130,Roberto Bautista Agut,Andy Murray,45%,1.34,63%,0.6341463414634146,0.45,41,40,1.34,Roberto Bautista Agut,Mens,Fav
131,Ben Shelton,Ben Shelton,62%,2.32,41%,0.41379310344827586,0.6153846153846154,29,13,1.62,Alexei Popyrin,Mens,Dog
132,Jeffrey John Wolf,Michael Mmoh,8%,1.35,71%,0.7142857142857143,0.08333333333333333,7,12,1.35,Jeffrey John Wolf,Mens,Fav
133,Alex De Minaur,Benjamin Bonzi,36%,1.22,54%,0.5384615384615384,0.36363636363636365,52,22,1.22,Alex De Minaur,Mens,Fav
134,Holger Rune,Ugo Humbert,38%,1.19,70%,0.7037037037037037,0.38461538461538464,27,13,1.19,Holger Rune,Mens,Fav
135,Andrey Rublev,Daniel Evans,45%,1.31,68%,0.6779661016949152,0.4473684210526316,59,38,1.31,Andrey Rublev,Mens,Fav
136,Francesco Maestrelli,Matteo Gigante,20%,1.85,42%,0.4166666666666667,0.2,12,5,1.85,Francesco Maestrelli,Mens,Fav
137,Tommy Paul,Jenson Brooksby,64%,1.68,55%,0.5471698113207547,0.6363636363636364,53,44,1.68,Tommy Paul,Mens,Fav
138,Sho Shimabukuro,Sho Shimabukuro,71%,1.92,73%,0.7272727272727273,0.7142857142857143,11,7,1.82,Chan Hong Seong,Mens,Dog
139,Alexander Shevchenko,Lorenzo Giustino,0%,1.59,80%,0.8,0.0,10,7,1.59,Alexander Shevchenko,Mens,Fav
140,Donna Vekic,Nuria Parrizas Diaz,39%,1.39,57%,0.5652173913043478,0.39285714285714285,23,28,1.39,Donna Vekic,Womens,Fav
141,Belinda Bencic,Camila Giorgi,53%,1.23,74%,0.7428571428571429,0.5263157894736842,35,19,1.23,Belinda Bencic,Womens,Fav
142,Shuai Zhang,Katie Volynets,25%,1.41,55%,0.55,0.25,20,8,1.41,Shuai Zhang,Womens,Fav
143,Linda Fruhvirtova,Linda Fruhvirtova,62%,3.35,65%,0.6470588235294118,0.6153846153846154,17,13,1.34,Marketa Vondrousova,Womens,Dog
144,Karolina Pliskova,Varvara Gracheva,44%,1.27,69%,0.6875,0.44,16,25,1.27,Karolina Pliskova,Womens,Fav
145,Aryna Sabalenka,Elise Mertens,48%,1.22,56%,0.5641025641025641,0.4782608695652174,39,23,1.22,Aryna Sabalenka,Womens,Fav
146,Magda Linette,Magda Linette,44%,2.25,45%,0.45161290322580644,0.44,31,25,1.66,Ekaterina Alexandrova,Womens,Dog
147,Arthur Cazaux,Giovanni Fonio,80%,1.2,85%,0.8461538461538461,0.8,13,5,1.2,Arthur Cazaux,Mens,Fav
148,Caroline Garcia,Laura Siegemund,30%,1.11,80%,0.8,0.3,10,10,1.11,Caroline Garcia,Womens,Fav
149,Sebastian Ofner,Riccardo Bonadio,50%,1.35,50%,0.5,0.5,10,6,1.35,Sebastian Ofner,Mens,Fav
150,Jannik Sinner,Marton Fucsovics,37%,1.11,82%,0.8205128205128205,0.37037037037037035,39,27,1.11,Jannik Sinner,Mens,Fav
151,Stefanos Tsitsipas,Tallon Griekspoor,36%,1.09,78%,0.7755102040816326,0.35714285714285715,49,14,1.09,Stefanos Tsitsipas,Mens,Fav
152,Yoshihito Nishioka,Mackenzie Mcdonald,44%,1.57,60%,0.6,0.4375,40,48,1.57,Yoshihito Nishioka,Mens,Fav
153,Karen Khachanov,Karen Khachanov,52%,2.0,61%,0.6086956521739131,0.52,46,50,1.82,Frances Tiafoe,Mens,Dog
154,Jiri Lehecka,Jiri Lehecka,46%,3.61,76%,0.76,0.46153846153846156,50,13,1.3,Cameron Norrie,Mens,Dog
155,Hubert Hurkacz,Denis Shapovalov,52%,1.9,60%,0.6,0.525,55,40,1.9,Hubert Hurkacz,Mens,Fav
156,Sebastian Korda,Sebastian Korda,54%,4.52,73%,0.7272727272727273,0.5384615384615384,66,39,1.21,Daniil Medvedev,Mens,Dog
157,Mate Valkusz,Mate Valkusz,80%,2.55,60%,0.6,0.8,10,5,1.49,Francesco Passaro,Mens,Dog
158,Felix Auger Aliassime,Francisco Cerundolo,33%,1.1,61%,0.6140350877192983,0.3333333333333333,57,12,1.1,Felix Auger Aliassime,Mens,Fav
159,Matteo Gigante,Matteo Gigante,29%,2.44,50%,0.5,0.2857142857142857,10,7,1.51,Nicolas Moreno De Alboran,Mens,Dog
160,Lin Zhu,Lin Zhu,43%,5.2,70%,0.6956521739130435,0.42857142857142855,23,7,1.17,Maria Sakkari,Womens,Dog
161,Arthur Cazaux,Tennys Sandgren,54%,1.38,69%,0.6923076923076923,0.5384615384615384,13,13,1.38,Arthur Cazaux,Mens,Fav
162,Lorenzo Giustino,Lorenzo Giustino,22%,2.41,36%,0.36363636363636365,0.2222222222222222,11,9,1.52,Kimmer Coppejans,Mens,Dog
163,Elena Rybakina,Danielle Collins,67%,1.65,54%,0.5365853658536586,0.6666666666666666,41,33,1.65,Elena Rybakina,Womens,Fav
164,Jessica Pegula,Marta Kostyuk,36%,1.29,80%,0.7954545454545454,0.35714285714285715,44,28,1.29,Jessica Pegula,Womens,Fav
165,Cori Gauff,Bernarda Pera,23%,1.16,60%,0.6046511627906976,0.23076923076923078,43,13,1.16,Cori Gauff,Womens,Fav
166,Jelena Ostapenko,Kateryna Baindl,60%,1.4,68%,0.68,0.6,25,5,1.4,Jelena Ostapenko,Womens,Fav
167,Barbora Krejcikova,Anhelina Kalinina,42%,1.68,63%,0.6285714285714286,0.4166666666666667,35,24,1.68,Barbora Krejcikova,Womens,Fav
168,Victoria Azarenka,Madison Keys,63%,1.77,59%,0.5945945945945946,0.631578947368421,37,38,1.77,Victoria Azarenka,Womens,Fav
169,Sho Shimabukuro,Zdenek Kolar,43%,1.45,64%,0.6363636363636364,0.42857142857142855,11,7,1.45,Sho Shimabukuro,Mens,Fav
170,Chan Hong Seong,Michael Geerts,50%,1.65,64%,0.6363636363636364,0.5,11,8,1.65,Chan Hong Seong,Mens,Fav
171,Giovanni Fonio,Giovanni Fonio,60%,2.37,82%,0.8181818181818182,0.6,11,5,1.54,Antoine Escoffier,Mens,Dog
172,Iga Swiatek,Cristina Bucsa,33%,1.03,100%,1.0,0.3333333333333333,14,6,1.03,Iga Swiatek,Womens,Fav
173,Roberto Bautista Agut,Brandon Holt,33%,1.09,75%,0.75,0.3333333333333333,12,6,1.09,Roberto Bautista Agut,Mens,Fav
174,Ekaterina Alexandrova,Taylor Townsend,20%,1.4,45%,0.45454545454545453,0.2,11,5,1.4,Ekaterina Alexandrova,Womens,Fav
175,Francesco Maestrelli,Flavio Cobolli,40%,1.79,50%,0.5,0.4,10,10,1.79,Francesco Maestrelli,Mens,Fav
176,Tommy Paul,Alejandro Davidovich Fokina,29%,1.49,52%,0.52,0.2903225806451613,50,31,1.49,Tommy Paul,Mens,Fav
177,Jenson Brooksby,Jenson Brooksby,50%,3.36,65%,0.6530612244897959,0.5,49,30,1.33,Casper Ruud,Mens,Dog
178,Andrey Rublev,Emil Ruusuvuori,32%,1.22,70%,0.6984126984126984,0.32,63,25,1.22,Andrey Rublev,Mens,Fav
179,Ben Shelton,Nicolas Jarry,60%,1.83,81%,0.8125,0.6,16,5,1.83,Ben Shelton,Mens,Fav
180,Jeffrey John Wolf,Diego Schwartzman,63%,1.52,67%,0.6666666666666666,0.6333333333333333,6,30,1.52,Jeffrey John Wolf,Mens,Fav
181,Alexander Shevchenko,Nick Hardt,50%,1.64,40%,0.4,0.5,10,6,1.64,Alexander Shevchenko,Mens,Fav
182,Alexei Popyrin,Alexei Popyrin,25%,7.04,73%,0.7333333333333333,0.25,15,16,1.11,Taylor Fritz,Mens,Dog
183,Michael Mmoh,Michael Mmoh,20%,4.78,82%,0.8181818181818182,0.2,11,5,1.19,Alexander Zverev,Mens,Dog
184,Grigor Dimitrov,Laslo Djere,36%,1.26,56%,0.5625,0.36,32,25,1.26,Grigor Dimitrov,Mens,Fav
185,Holger Rune,Maxime Cressy,39%,1.18,63%,0.6285714285714286,0.391304347826087,35,23,1.18,Holger Rune,Mens,Fav
186,Benjamin Bonzi,Benjamin Bonzi,30%,3.2,62%,0.6222222222222222,0.3,45,20,1.36,Pablo Carreno Busta,Mens,Dog
187,Novak Djokovic,Enzo Couacaud,38%,1.01,93%,0.9285714285714286,0.375,14,8,1.01,Novak Djokovic,Mens,Fav
188,Andy Murray,Andy Murray,43%,2.43,64%,0.6363636363636364,0.42857142857142855,22,7,1.58,Thanasi Kokkinakis,Mens,Dog
189,Katie Volynets,Katie Volynets,0%,8.24,89%,0.8947368421052632,0.0,19,5,1.08,Veronika Kudermetova,Womens,Dog
190,Ugo Humbert,Denis Kudla,42%,1.45,33%,0.3333333333333333,0.42105263157894735,18,19,1.45,Ugo Humbert,Mens,Fav
191,Sebastian Ofner,Fabian Marozsan,30%,1.76,50%,0.5,0.3,10,10,1.76,Sebastian Ofner,Mens,Fav
192,Alex De Minaur,Adrian Mannarino,40%,1.17,53%,0.5294117647058824,0.4,51,30,1.17,Alex De Minaur,Mens,Fav
193,Antoine Escoffier,Daniel Michalski,40%,1.43,59%,0.5882352941176471,0.4,17,5,1.43,Antoine Escoffier,Mens,Fav
194,Riccardo Bonadio,Riccardo Bonadio,40%,2.43,50%,0.5,0.4,10,5,1.51,Gianluca Mager,Mens,Dog
