,Winner,Dog,Dog_Record,Winner_Odds,Fav_Record,percent,percent2,Fav_Games,Dog_Games,Fav_Odds,Fav,Sex,Winx
24,Gregoire Barrere,Arthur Fils,60%,1.56,45%,0.4482758620689655,0.6,29,5,1.56,Gregoire Barrere,Mens,Fav
25,Max Purcell,Alex Bolt,33%,1.28,73%,0.7272727272727273,0.3333333333333333,11,6,1.28,Max Purcell,Mens,Fav
26,Tristan Schoolkate,Rio Noguchi,40%,1.41,40%,0.4,0.4,10,5,1.41,Tristan Schoolkate,Mens,Fav
27,Shuichi Sekiguchi,Shuichi Sekiguchi,60%,3.69,40%,0.4,0.6,10,5,1.25,Dane Sweeny,Mens,Dog
28,Brandon Walkin,Brandon Walkin,40%,2.12,22%,0.2222222222222222,0.4,9,5,1.65,Edward Winter,Mens,Dog
29,Bradley Klahn,Alexander Cozbinov,20%,1.31,14%,0.14285714285714285,0.2,7,5,1.31,Bradley Klahn,Mens,Fav
30,Alexey Vatutin,Alexey Vatutin,50%,2.28,33%,0.3333333333333333,0.5,12,6,1.56,Kenny De Schepper,Mens,Dog
31,Aidan Mayo,Benjamin Sigouin,0%,1.43,80%,0.8,0.0,10,5,1.43,Aidan Mayo,Mens,Fav
32,Thai Son Kwiatkowski,Thai Son Kwiatkowski,60%,2.41,40%,0.4,0.6,10,5,1.5,Donald Young,Mens,Dog
33,Stefano Travaglia,Dominik Palan,33%,1.27,60%,0.6,0.3333333333333333,10,6,1.27,Stefano Travaglia,Mens,Fav
34,Lorenzo Giustino,Giovanni Fonio,60%,1.81,55%,0.5454545454545454,0.6,11,5,1.81,Lorenzo Giustino,Mens,Fav
35,Valeria Savinykh,Natalija Stevanovic,20%,1.57,29%,0.2857142857142857,0.2,7,5,1.57,Valeria Savinykh,Womens,Fav
36,Astra Sharma,Ellen Perez,50%,1.56,50%,0.5,0.5,10,6,1.56,Astra Sharma,Womens,Fav
37,Erika Andreeva,Diane Parry,36%,1.79,50%,0.5,0.36363636363636365,10,11,1.79,Erika Andreeva,Womens,Fav
38,Marina Bassols Ribera,Marina Bassols Ribera,40%,3.15,50%,0.5,0.4,32,5,1.34,Varvara Gracheva,Womens,Dog
39,Ana Konjuh,Simona Waltert,40%,1.59,44%,0.4444444444444444,0.4,18,5,1.59,Ana Konjuh,Womens,Fav
40,Rebeka Masarova,Kaja Juvan,56%,1.69,50%,0.5,0.5555555555555556,12,18,1.69,Rebeka Masarova,Womens,Fav
41,Olga Danilovic,Olga Danilovic,40%,4.15,80%,0.8,0.4,15,5,1.21,Clara Tauson,Womens,Dog
42,Katie Swan,Katie Swan,40%,3.04,58%,0.5833333333333334,0.4,12,5,1.35,Camila Giorgi,Womens,Dog
43,Erika Andreeva,Viktoriya Tomova,47%,1.59,50%,0.5,0.4666666666666667,10,15,1.59,Erika Andreeva,Womens,Fav
44,Diane Parry,Diane Parry,44%,2.09,42%,0.4166666666666667,0.4444444444444444,12,9,1.69,Jessika Ponchet,Womens,Dog
45,Viktoria Kuzmova,Viktoria Kuzmova,69%,1.9,60%,0.6,0.6875,20,16,1.85,Cristina Bucsa,Womens,Dog
46,Daniel Merida Aguilar,Daniel Merida Aguilar,40%,2.42,40%,0.4,0.4,5,5,1.5,Alejandro Moro Canas,Mens,Dog
47,Linda Noskova,Viktoria Kuzmova,55%,1.38,67%,0.6666666666666666,0.5454545454545454,12,11,1.38,Linda Noskova,Womens,Fav
48,Arthur Fils,Calvin Hemery,67%,1.25,60%,0.6,0.6666666666666666,10,6,1.25,Arthur Fils,Mens,Fav
49,Novak Djokovic,Stefanos Tsitsipas,66%,1.21,88%,0.8823529411764706,0.660377358490566,34,53,1.21,Novak Djokovic,Mens,Fav
50,David Goffin,Gauthier Onclin,80%,1.2,64%,0.6363636363636364,0.8,11,5,1.2,David Goffin,Mens,Fav
51,Mikael Ymer,Altug Celikbilek,50%,1.15,60%,0.6,0.5,10,12,1.15,Mikael Ymer,Mens,Fav
52,Johannes Haerteis,Johannes Haerteis,33%,2.33,60%,0.6,0.3333333333333333,10,6,1.54,Andrea Arnaboldi,Mens,Dog
53,Ulises Blanch,Mats Rosenkranz,30%,1.33,55%,0.5454545454545454,0.3,11,10,1.33,Ulises Blanch,Mens,Fav
54,Giovanni Oradini,Giovanni Oradini,80%,2.46,50%,0.5,0.8,10,5,1.49,Matthias Bachinger,Mens,Dog
55,Egor Gerasimov,Kai Wehnelt,20%,1.23,60%,0.6,0.2,10,5,1.23,Egor Gerasimov,Mens,Fav
56,Simona Waltert,Simona Waltert,40%,2.01,68%,0.6842105263157895,0.4,19,5,1.75,Magdalena Frech,Womens,Dog
57,Ana Konjuh,Kateryna Baindl,50%,1.64,57%,0.5714285714285714,0.5,21,16,1.64,Ana Konjuh,Womens,Fav
58,Kaja Juvan,Kaja Juvan,56%,2.34,42%,0.42105263157894735,0.5625,19,16,1.56,Anna Lena Friedsam,Womens,Dog
59,Mikael Ymer,Fabian Marozsan,80%,1.29,50%,0.5,0.8,10,5,1.29,Mikael Ymer,Mens,Fav
60,David Goffin,Yannick Hanfmann,33%,1.43,33%,0.3333333333333333,0.3333333333333333,15,6,1.43,David Goffin,Mens,Fav
61,Gregoire Barrere,Geoffrey Blancaneaux,36%,1.36,44%,0.4444444444444444,0.36363636363636365,27,11,1.36,Gregoire Barrere,Mens,Fav
62,Calvin Hemery,Calvin Hemery,67%,3.84,64%,0.6363636363636364,0.6666666666666666,11,6,1.24,Dominic Stricker,Mens,Dog
63,Gauthier Onclin,Kaichi Uchida,62%,1.56,67%,0.6666666666666666,0.625,6,16,1.56,Gauthier Onclin,Mens,Fav
64,Arthur Fils,Otto Virtanen,36%,1.63,60%,0.6,0.36363636363636365,10,11,1.63,Arthur Fils,Mens,Fav
65,Aryna Sabalenka,Elena Rybakina,56%,1.8,60%,0.6046511627906976,0.5609756097560976,43,41,1.8,Aryna Sabalenka,Womens,Fav
66,Gregoire Barrere,Lucas Pouille,50%,1.57,83%,0.8333333333333334,0.5,12,10,1.57,Gregoire Barrere,Mens,Fav
67,Calvin Hemery,Calvin Hemery,40%,2.27,55%,0.5454545454545454,0.4,11,5,1.59,Evan Furness,Mens,Dog
68,Geoffrey Blancaneaux,Geoffrey Blancaneaux,11%,3.45,40%,0.4,0.1111111111111111,15,9,1.28,Luca Van Assche,Mens,Dog
69,Gregoire Barrere,Nicolas Moreno De Alboran,40%,1.42,70%,0.6956521739130435,0.4,23,5,1.42,Gregoire Barrere,Mens,Fav
70,Lucas Pouille,Lucas Pouille,69%,2.51,67%,0.6666666666666666,0.6875,12,16,1.49,Dennis Novak,Mens,Dog
71,Gauthier Onclin,Ernests Gulbis,80%,1.4,60%,0.6,0.8,5,5,1.4,Gauthier Onclin,Mens,Fav
72,Geoffrey Blancaneaux,Geoffrey Blancaneaux,23%,2.62,62%,0.625,0.23076923076923078,24,13,1.46,Radu Albot,Mens,Dog
73,David Goffin,Frederico Ferreira Silva,40%,1.15,45%,0.45454545454545453,0.4,11,5,1.15,David Goffin,Mens,Fav
74,Altug Celikbilek,Altug Celikbilek,52%,2.04,40%,0.4,0.5238095238095238,10,21,1.73,Filip Misolic,Mens,Dog
75,Stefanos Tsitsipas,Karen Khachanov,47%,1.33,69%,0.6949152542372882,0.46511627906976744,59,43,1.33,Stefanos Tsitsipas,Mens,Fav
76,Novak Djokovic,Tommy Paul,50%,1.05,89%,0.8918918918918919,0.5,37,42,1.05,Novak Djokovic,Mens,Fav
77,Yannick Hanfmann,Ricardas Berankis,53%,1.8,67%,0.6666666666666666,0.5263157894736842,12,19,1.8,Yannick Hanfmann,Mens,Fav
78,Radu Albot,Antoine Bellier,22%,1.46,58%,0.5833333333333334,0.2222222222222222,24,9,1.46,Radu Albot,Mens,Fav
79,Elena Rybakina,Victoria Azarenka,62%,1.48,57%,0.5681818181818182,0.625,44,40,1.48,Elena Rybakina,Womens,Fav
80,Aryna Sabalenka,Magda Linette,52%,1.19,60%,0.6,0.5185185185185185,45,27,1.19,Aryna Sabalenka,Womens,Fav
81,Illya Marchenko,Illya Marchenko,31%,2.19,60%,0.6,0.3076923076923077,10,13,1.63,Benoit Paire,Mens,Dog
82,Arthur Fils,Bu Yunchaokete,17%,1.2,64%,0.6428571428571429,0.16666666666666666,14,6,1.2,Arthur Fils,Mens,Fav
83,Luca Van Assche,Luca Nardi,46%,1.84,38%,0.38461538461538464,0.46153846153846156,13,13,1.84,Luca Van Assche,Mens,Fav
84,Otto Virtanen,Sebastian Ofner,58%,1.69,30%,0.3,0.5833333333333334,10,12,1.69,Otto Virtanen,Mens,Fav
85,Arthur Fils,Gijs Brouwer,44%,1.51,45%,0.45454545454545453,0.4444444444444444,11,9,1.51,Arthur Fils,Mens,Fav
86,Nicolas Moreno De Alboran,Manuel Guinard,36%,1.46,50%,0.5,0.36363636363636365,10,11,1.46,Nicolas Moreno De Alboran,Mens,Fav
87,Mikael Ymer,Raphael Collignon,40%,1.15,50%,0.5,0.4,10,5,1.15,Mikael Ymer,Mens,Fav
88,David Goffin,Kimmer Coppejans,20%,1.14,40%,0.4,0.2,10,5,1.14,David Goffin,Mens,Fav
89,Fabian Marozsan,Cem Ilkel,59%,1.7,73%,0.7272727272727273,0.5909090909090909,11,22,1.7,Fabian Marozsan,Mens,Fav
90,Filip Misolic,Filip Misolic,33%,3.21,40%,0.4,0.3333333333333333,10,6,1.32,Joris De Loore,Mens,Dog
91,Altug Celikbilek,Altug Celikbilek,53%,2.4,55%,0.5454545454545454,0.5263157894736842,11,19,1.53,Elias Ymer,Mens,Dog
92,Mikael Ymer,Borna Gojo,55%,1.41,50%,0.5,0.5454545454545454,18,11,1.41,Mikael Ymer,Mens,Fav
93,Kaichi Uchida,Kaichi Uchida,27%,2.3,30%,0.3,0.2727272727272727,10,11,1.57,Jozef Kovalik,Mens,Dog
94,Dominic Stricker,Illya Marchenko,50%,1.25,60%,0.6,0.5,10,16,1.25,Dominic Stricker,Mens,Fav
95,Sebastian Ofner,Sebastian Ofner,56%,2.06,47%,0.4666666666666667,0.5555555555555556,15,9,1.71,Matteo Arnaldi,Mens,Dog
96,Dennis Novak,Nick Hardt,43%,1.31,73%,0.7333333333333333,0.42857142857142855,15,7,1.31,Dennis Novak,Mens,Fav
97,Otto Virtanen,Giovanni Mpetshi Perricard,33%,1.49,90%,0.9,0.3333333333333333,10,6,1.49,Otto Virtanen,Mens,Fav
98,Radu Albot,Alexandre Muller,56%,1.59,58%,0.5833333333333334,0.5555555555555556,24,9,1.59,Radu Albot,Mens,Fav
99,Calvin Hemery,Calvin Hemery,40%,3.3,60%,0.6,0.4,10,5,1.3,Hugo Grenier,Mens,Dog
100,Gregoire Barrere,Emilio Nava,35%,1.42,42%,0.4230769230769231,0.35294117647058826,26,17,1.42,Gregoire Barrere,Mens,Fav
101,Antoine Bellier,Antoine Bellier,40%,2.36,69%,0.6923076923076923,0.4,13,10,1.55,Zsombor Piros,Mens,Dog
102,Gijs Brouwer,Gijs Brouwer,33%,2.72,67%,0.6666666666666666,0.3333333333333333,21,9,1.42,Vasek Pospisil,Mens,Dog
103,Aryna Sabalenka,Donna Vekic,50%,1.28,70%,0.696969696969697,0.5,33,20,1.28,Aryna Sabalenka,Womens,Fav
104,Dominic Stricker,Pierre Hugues Herbert,50%,1.48,60%,0.6,0.5,10,8,1.48,Dominic Stricker,Mens,Fav
105,Lucas Pouille,Lucas Pouille,70%,2.09,73%,0.7272727272727273,0.7,11,10,1.69,Flavio Cobolli,Mens,Dog
106,Magda Linette,Magda Linette,44%,2.44,66%,0.6571428571428571,0.43902439024390244,35,41,1.58,Karolina Pliskova,Womens,Dog
107,Jozef Kovalik,Jozef Kovalik,25%,3.22,41%,0.4117647058823529,0.25,17,12,1.32,Jurij Rodionov,Mens,Dog
108,Ricardas Berankis,Henri Laaksonen,58%,1.6,75%,0.75,0.5833333333333334,12,24,1.6,Ricardas Berankis,Mens,Fav
109,Novak Djokovic,Andrey Rublev,65%,1.13,88%,0.875,0.6530612244897959,32,49,1.13,Novak Djokovic,Mens,Fav
110,Tommy Paul,Ben Shelton,50%,1.36,64%,0.6428571428571429,0.5,28,6,1.36,Tommy Paul,Mens,Fav
111,Fabian Marozsan,Andrea Arnaboldi,22%,1.3,70%,0.7,0.2222222222222222,10,9,1.3,Fabian Marozsan,Mens,Fav
112,Kaichi Uchida,Alibek Kachmazov,20%,1.61,57%,0.5714285714285714,0.2,14,5,1.61,Kaichi Uchida,Mens,Fav
113,Cem Ilkel,Cem Ilkel,58%,2.11,73%,0.7272727272727273,0.5833333333333334,11,24,1.67,Alexander Shevchenko,Mens,Dog
114,Elias Ymer,Kenny De Schepper,33%,1.44,45%,0.45454545454545453,0.3333333333333333,11,6,1.44,Elias Ymer,Mens,Fav
115,Ernests Gulbis,Ernests Gulbis,44%,3.65,70%,0.7,0.4444444444444444,10,9,1.25,Lukas Klein,Mens,Dog
116,Filip Misolic,Filip Misolic,20%,4.5,54%,0.5384615384615384,0.2,26,5,1.18,Tomas Machac,Mens,Dog
117,Frederico Ferreira Silva,Frederico Ferreira Silva,50%,2.24,55%,0.5454545454545454,0.5,11,16,1.6,Raul Brancaccio,Mens,Dog
118,Borna Gojo,Zizou Bergs,35%,1.81,70%,0.7,0.35,20,20,1.81,Borna Gojo,Mens,Fav
119,Altug Celikbilek,Valentin Vacherot,50%,1.61,45%,0.45454545454545453,0.5,11,8,1.61,Altug Celikbilek,Mens,Fav
120,Calvin Hemery,Calvin Hemery,20%,2.24,60%,0.6,0.2,10,5,1.57,Evan Furness,Mens,Dog
121,Giovanni Mpetshi Perricard,Giovanni Mpetshi Perricard,80%,1.87,55%,0.5454545454545454,0.8,11,5,1.82,Ulises Blanch,Mens,Dog
122,Victoria Azarenka,Victoria Azarenka,58%,3.45,69%,0.6862745098039216,0.5757575757575758,51,33,1.33,Jessica Pegula,Womens,Dog
123,Calvin Hemery,Calvin Hemery,0%,2.05,60%,0.6,0.0,10,5,1.67,Alexey Vatutin,Mens,Dog
124,Elena Rybakina,Jelena Ostapenko,48%,1.38,57%,0.5714285714285714,0.4782608695652174,42,46,1.38,Elena Rybakina,Womens,Fav
125,Nicolas Moreno De Alboran,Jonathan Eysseric,0%,1.24,50%,0.5,0.0,10,5,1.24,Nicolas Moreno De Alboran,Mens,Fav
126,Alibek Kachmazov,Viktor Durasovic,29%,1.84,62%,0.6153846153846154,0.2857142857142857,13,7,1.84,Alibek Kachmazov,Mens,Fav
127,Joris De Loore,Ramkumar Ramanathan,39%,1.31,82%,0.8181818181818182,0.3888888888888889,11,18,1.31,Joris De Loore,Mens,Fav
128,Stefanos Tsitsipas,Jiri Lehecka,54%,1.16,80%,0.7954545454545454,0.5384615384615384,44,13,1.16,Stefanos Tsitsipas,Mens,Fav
129,Karen Khachanov,Karen Khachanov,56%,2.08,58%,0.5777777777777777,0.5636363636363636,45,55,1.78,Sebastian Korda,Mens,Dog
130,Ricardas Berankis,Henri Laaksonen,61%,1.6,73%,0.7272727272727273,0.6086956521739131,11,23,1.6,Ricardas Berankis,Mens,Fav
131,Mikael Ymer,Cem Ilkel,14%,1.26,50%,0.5,0.14285714285714285,10,7,1.26,Mikael Ymer,Mens,Fav
132,Yannick Hanfmann,Nino Serdarusic,33%,1.29,70%,0.7,0.3333333333333333,10,9,1.29,Yannick Hanfmann,Mens,Fav
133,Andrea Arnaboldi,Andrea Arnaboldi,27%,2.25,60%,0.6,0.2727272727272727,10,11,1.58,Altug Celikbilek,Mens,Dog
134,Kenny De Schepper,Henri Squire,67%,1.82,33%,0.3333333333333333,0.6666666666666666,15,9,1.82,Kenny De Schepper,Mens,Fav
135,Ergi Kirkin,Louis Wessels,0%,1.68,10%,0.1,0.0,10,5,1.68,Ergi Kirkin,Mens,Fav
136,Joris De Loore,Alibek Kachmazov,40%,1.23,80%,0.8,0.4,10,5,1.23,Joris De Loore,Mens,Fav
137,Novak Djokovic,Alex De Minaur,53%,1.21,88%,0.8823529411764706,0.5277777777777778,34,36,1.21,Novak Djokovic,Mens,Fav
138,Tommy Paul,Roberto Bautista Agut,61%,1.74,52%,0.5217391304347826,0.6136363636363636,46,44,1.74,Tommy Paul,Mens,Fav
139,Andrey Rublev,Andrey Rublev,65%,2.14,60%,0.6,0.6458333333333334,30,48,1.74,Holger Rune,Mens,Dog
140,Ernests Gulbis,Ernests Gulbis,57%,2.07,50%,0.5,0.5714285714285714,10,7,1.67,Charles Broom,Mens,Dog
141,Altug Celikbilek,Mats Rosenkranz,33%,1.31,60%,0.6,0.3333333333333333,10,6,1.31,Altug Celikbilek,Mens,Fav
142,Henri Squire,Oscar Jose Gutierrez,0%,1.12,75%,0.75,0.0,12,5,1.12,Henri Squire,Mens,Fav
143,Ulises Blanch,Ulises Blanch,50%,2.26,60%,0.6,0.5,10,6,1.56,Mathias Bourgue,Mens,Dog
144,Illya Marchenko,Benjamin Lock,50%,1.14,42%,0.4166666666666667,0.5,12,6,1.14,Illya Marchenko,Mens,Fav
145,Karolina Pliskova,Shuai Zhang,40%,1.44,63%,0.6333333333333333,0.4,30,40,1.44,Karolina Pliskova,Womens,Fav
146,Magda Linette,Magda Linette,43%,3.1,57%,0.5652173913043478,0.43478260869565216,46,23,1.38,Caroline Garcia,Womens,Dog
147,Donna Vekic,Linda Fruhvirtova,62%,1.4,58%,0.5833333333333334,0.6153846153846154,24,13,1.4,Donna Vekic,Womens,Fav
148,Aryna Sabalenka,Belinda Bencic,54%,1.69,56%,0.5555555555555556,0.5384615384615384,36,26,1.69,Aryna Sabalenka,Womens,Fav
149,Kenny De Schepper,Kenny De Schepper,12%,2.26,42%,0.4166666666666667,0.125,12,8,1.58,Michael Geerts,Mens,Dog
150,Karen Khachanov,Yoshihito Nishioka,53%,1.42,56%,0.5555555555555556,0.5277777777777778,54,36,1.42,Karen Khachanov,Mens,Fav
151,Stefanos Tsitsipas,Jannik Sinner,55%,1.47,68%,0.6842105263157895,0.5517241379310345,57,29,1.47,Stefanos Tsitsipas,Mens,Fav
152,Jiri Lehecka,Jiri Lehecka,46%,4.38,76%,0.7631578947368421,0.46153846153846156,38,13,1.22,Felix Auger Aliassime,Mens,Dog
153,Sebastian Korda,Hubert Hurkacz,61%,1.57,57%,0.5714285714285714,0.6140350877192983,42,57,1.57,Sebastian Korda,Mens,Fav
154,Alexander Shevchenko,Alexander Shevchenko,38%,2.29,58%,0.5833333333333334,0.375,12,8,1.58,Sebastian Ofner,Mens,Dog
155,Alexander Shevchenko,Francesco Maestrelli,56%,1.86,40%,0.4,0.5555555555555556,10,9,1.86,Alexander Shevchenko,Mens,Fav
156,Victoria Azarenka,Lin Zhu,50%,1.15,89%,0.8947368421052632,0.5,19,12,1.15,Victoria Azarenka,Womens,Fav
157,Jessica Pegula,Barbora Krejcikova,59%,1.44,67%,0.673469387755102,0.5862068965517241,49,29,1.44,Jessica Pegula,Womens,Fav
158,Jelena Ostapenko,Jelena Ostapenko,44%,4.35,58%,0.5833333333333334,0.4358974358974359,36,39,1.22,Cori Gauff,Womens,Dog
159,Elena Rybakina,Elena Rybakina,54%,4.17,79%,0.7903225806451613,0.5428571428571428,62,35,1.24,Iga Swiatek,Womens,Dog
160,Sho Shimabukuro,Sho Shimabukuro,86%,3.43,70%,0.7,0.8571428571428571,10,7,1.29,Arthur Cazaux,Mens,Dog
161,Novak Djokovic,Grigor Dimitrov,44%,1.2,88%,0.8823529411764706,0.4444444444444444,34,27,1.2,Novak Djokovic,Mens,Fav
162,Roberto Bautista Agut,Andy Murray,45%,1.34,63%,0.6341463414634146,0.45,41,40,1.34,Roberto Bautista Agut,Mens,Fav
163,Jeffrey John Wolf,Michael Mmoh,8%,1.35,71%,0.7142857142857143,0.08333333333333333,7,12,1.35,Jeffrey John Wolf,Mens,Fav
164,Tommy Paul,Jenson Brooksby,64%,1.68,55%,0.5471698113207547,0.6363636363636364,53,44,1.68,Tommy Paul,Mens,Fav
165,Holger Rune,Ugo Humbert,38%,1.19,70%,0.7037037037037037,0.38461538461538464,27,13,1.19,Holger Rune,Mens,Fav
166,Andrey Rublev,Daniel Evans,45%,1.31,68%,0.6779661016949152,0.4473684210526316,59,38,1.31,Andrey Rublev,Mens,Fav
167,Sebastian Ofner,Mate Valkusz,80%,1.5,64%,0.6363636363636364,0.8,11,5,1.5,Sebastian Ofner,Mens,Fav
168,Francesco Maestrelli,Matteo Gigante,20%,1.85,42%,0.4166666666666667,0.2,12,5,1.85,Francesco Maestrelli,Mens,Fav
169,Alexander Shevchenko,Lorenzo Giustino,0%,1.59,80%,0.8,0.0,10,7,1.59,Alexander Shevchenko,Mens,Fav
170,Ben Shelton,Ben Shelton,62%,2.32,41%,0.41379310344827586,0.6153846153846154,29,13,1.62,Alexei Popyrin,Mens,Dog
171,Arthur Cazaux,Giovanni Fonio,80%,1.2,85%,0.8461538461538461,0.8,13,5,1.2,Arthur Cazaux,Mens,Fav
172,Sho Shimabukuro,Sho Shimabukuro,71%,1.92,73%,0.7272727272727273,0.7142857142857143,11,7,1.82,Chan Hong Seong,Mens,Dog
173,Karolina Pliskova,Varvara Gracheva,44%,1.27,69%,0.6875,0.44,16,25,1.27,Karolina Pliskova,Womens,Fav
174,Donna Vekic,Nuria Parrizas Diaz,39%,1.39,57%,0.5652173913043478,0.39285714285714285,23,28,1.39,Donna Vekic,Womens,Fav
175,Belinda Bencic,Camila Giorgi,53%,1.23,74%,0.7352941176470589,0.5263157894736842,34,19,1.23,Belinda Bencic,Womens,Fav
176,Shuai Zhang,Katie Volynets,25%,1.41,55%,0.55,0.25,20,8,1.41,Shuai Zhang,Womens,Fav
177,Alex De Minaur,Benjamin Bonzi,36%,1.22,54%,0.5384615384615384,0.36363636363636365,52,22,1.22,Alex De Minaur,Mens,Fav
178,Aryna Sabalenka,Elise Mertens,48%,1.22,56%,0.5641025641025641,0.4782608695652174,39,23,1.22,Aryna Sabalenka,Womens,Fav
179,Caroline Garcia,Laura Siegemund,30%,1.11,80%,0.8,0.3,10,10,1.11,Caroline Garcia,Womens,Fav
180,Linda Fruhvirtova,Linda Fruhvirtova,62%,3.35,65%,0.6470588235294118,0.6153846153846154,17,13,1.34,Marketa Vondrousova,Womens,Dog
181,Magda Linette,Magda Linette,44%,2.25,45%,0.45161290322580644,0.44,31,25,1.66,Ekaterina Alexandrova,Womens,Dog
182,Mate Valkusz,Mate Valkusz,80%,2.55,60%,0.6,0.8,10,5,1.49,Francesco Passaro,Mens,Dog
183,Jannik Sinner,Marton Fucsovics,37%,1.11,82%,0.8205128205128205,0.37037037037037035,39,27,1.11,Jannik Sinner,Mens,Fav
184,Stefanos Tsitsipas,Tallon Griekspoor,36%,1.09,78%,0.7755102040816326,0.35714285714285715,49,14,1.09,Stefanos Tsitsipas,Mens,Fav
185,Yoshihito Nishioka,Mackenzie Mcdonald,44%,1.57,60%,0.6,0.4375,40,48,1.57,Yoshihito Nishioka,Mens,Fav
186,Sebastian Korda,Sebastian Korda,54%,4.52,73%,0.7272727272727273,0.5384615384615384,66,39,1.21,Daniil Medvedev,Mens,Dog
187,Jiri Lehecka,Jiri Lehecka,46%,3.61,76%,0.76,0.46153846153846156,50,13,1.3,Cameron Norrie,Mens,Dog
188,Hubert Hurkacz,Denis Shapovalov,52%,1.9,60%,0.6,0.525,55,40,1.9,Hubert Hurkacz,Mens,Fav
189,Karen Khachanov,Karen Khachanov,52%,2.0,61%,0.6086956521739131,0.52,46,50,1.82,Frances Tiafoe,Mens,Dog
190,Matteo Gigante,Matteo Gigante,29%,2.44,60%,0.6,0.2857142857142857,10,7,1.51,Nicolas Moreno De Alboran,Mens,Dog
191,Felix Auger Aliassime,Francisco Cerundolo,33%,1.1,61%,0.6140350877192983,0.3333333333333333,57,12,1.1,Felix Auger Aliassime,Mens,Fav
192,Lorenzo Giustino,Lorenzo Giustino,22%,2.41,36%,0.36363636363636365,0.2222222222222222,11,9,1.52,Kimmer Coppejans,Mens,Dog
193,Sebastian Ofner,Riccardo Bonadio,50%,1.35,50%,0.5,0.5,10,6,1.35,Sebastian Ofner,Mens,Fav
194,Giovanni Fonio,Giovanni Fonio,60%,2.37,82%,0.8181818181818182,0.6,11,5,1.54,Antoine Escoffier,Mens,Dog
195,Elena Rybakina,Danielle Collins,67%,1.65,55%,0.55,0.6666666666666666,40,33,1.65,Elena Rybakina,Womens,Fav
